Source,Link,Target
"Killigrew, Charles",sued,"Betterton, Thomas"
"Killigrew, Charles",sued,"Davenant, Alexander"
"Killigrew, Charles",sued,"Davenant, Charles"
"Killigrew, Charles",sued,"Davenant, Mary"
"Killigrew, Charles",sued,"Davenant, Ralph"
"Killigrew, Charles",sued,"Davenant, Thomas"
"Killigrew, Charles",sued,"Smith, William"
"Davenant, Charles",sued,"King, Gregory"
"Davenant, Charles",sued,"Godwin, Benjamin"
"Howard, Robert",sued,"Meggs, Mary"
"Morein, Mary",married to,"Morein, Lawrence"
"Morein, Mary",sued,"Pinkethman, William"
"Morein, Lawrence",sued,"Pinkethman, William"
"Goodwyn, Eliza",sued,"Davenant, Alexander"
"Swiney, Owen",sued,"Champelon, Lucretia"
"Morley, Thomas",married to,"Morley, Penelope"
"Morley, Thomas",sued,"Walmesley, Isabella"
"Morley, Thomas",sued,"Maidstone, Francis"
"Morley, Thomas",sued,"Grice, Sarah"
"Morley, Penelope",sued,"Walmesley, Isabella"
"Morley, Penelope",sued,"Maidstone, Francis"
"Morley, Penelope",sued,"Grice, Sarah"
"Middlemore, Richard",sued,"Killigrew, Charles"
"Middlemore, Richard",sued,"Davenant, Charles"
"Middlemore, Richard",sued,"Skipwith, Thomas"
"Middlemore, Richard",sued,"Rich, Christopher"
"Middlemore, Richard",sued,"Baggs, Zachary"
"Card, Andrew",sued,"Killigrew, Charles"
"Card, Andrew",sued,"Davenant, Charles"
"Card, Andrew",sued,"Skipwith, Thomas"
"Card, Andrew",sued,"Rich, Christopher"
"Card, Andrew",sued,"Baggs, Zachary"
"Killigrew, Charles",sued,"Skipwith, Thomas"
"Killigrew, Charles",sued,"Rich, Christopher"
"Killigrew, Charles",sued,"Shepey, Grace"
"Killigrew, Charles",sued,"Sherman, John"
"Killigrew, Charles",sued,"Musters, Thomas"
"Morley, Penelope",sued,"Davenant, Charles"
"Morley, Penelope",sued,"Skipwith, Thomas"
"Morley, Penelope",sued,"Rich, Christopher"
"Morley, Penelope",sued,"Shepey, Grace"
"Morley, Penelope",sued,"Sherman, John"
"Morley, Penelope",sued,"Musters, Thomas"
"Lacy, Margaret",sued,"Davenant, Charles"
"Lacy, Margaret",sued,"Skipwith, Thomas"
"Lacy, Margaret",sued,"Rich, Christopher"
"Lacy, Margaret",sued,"Shepey, Grace"
"Lacy, Margaret",sued,"Sherman, John"
"Lacy, Margaret",sued,"Musters, Thomas"
"Clayton, Thomas",sued,"Davenant, Charles"
"Clayton, Thomas",sued,"Skipwith, Thomas"
"Clayton, Thomas",sued,"Rich, Christopher"
"Clayton, Thomas",sued,"Shepey, Grace"
"Clayton, Thomas",sued,"Sherman, John"
"Clayton, Thomas",sued,"Musters, Thomas"
"Napier, Thomas",sued,"Davenant, Charles"
"Napier, Thomas",sued,"Skipwith, Thomas"
"Napier, Thomas",sued,"Rich, Christopher"
"Napier, Thomas",sued,"Shepey, Grace"
"Napier, Thomas",sued,"Sherman, John"
"Napier, Thomas",sued,"Musters, Thomas"
"Howard, Robert",sued,"Griffin, Philip"
"Burt, Nicholas",sued,"Griffin, Philip"
"Napier, Thomas",sued,"Griffin, Philip"
"Clayton, William",sued,"Griffin, Philip"
"Howard, Robert",sued,"Thomas, Thomas"
"Burt, Nicholas",sued,"Thomas, Thomas"
"Napier, Thomas",sued,"Thomas, Thomas"
"Clayton, William",sued,"Thomas, Thomas"
"Clayton, Elizabeth",married to,"Clayton, Thomas"
"Clayton, Elizabeth",sued,"Skipwith, Thomas"
"Clayton, Elizabeth",sued,"Rich, Christopher"
"Clayton, Elizabeth",sued,"Betterton, Thomas"
"Clayton, Thomas",sued,"Betterton, Thomas"
"Davenant, Charles",sued,"Loggan, Katherine"
"Davenant, Charles",sued,"Wooding, Elizabeth"
"Davenant, Charles",sued,"Wooding, Richard"
"Davenant, Charles",sued,"Wooding, Joan"
"Davenant, Charles",sued,"Davenant, Alexander"
"Wilkes, Robert",sued,"Killigrew, Charles"
"Wilkes, Robert",sued,"Kynaston, Thomas"
"Wilkes, Robert",sued,"Drew, Charles"
"Wilkes, Robert",sued,"Leake, Elizabeth"
"Wilkes, Robert",sued,"Lacey, Margaret"
"Wilkes, Robert",sued,"Strawbridge, Nicholas"
"Wilkes, Robert",sued,"Morley, George"
"Wilkes, Robert",sued,"Stone, Elizabeth"
"Wilkes, Robert",sued,"Allen, Anthony"
"Wilkes, Robert",sued,"Mordaunt, John"
"Wilkes, Robert",sued,"Collier, William"
"Cibber, Colley",sued,"Killigrew, Charles"
"Cibber, Colley",sued,"Kynaston, Thomas"
"Cibber, Colley",sued,"Drew, Charles"
"Cibber, Colley",sued,"Leake, Elizabeth"
"Cibber, Colley",sued,"Lacey, Margaret"
"Cibber, Colley",sued,"Strawbridge, Nicholas"
"Cibber, Colley",sued,"Morley, George"
"Cibber, Colley",sued,"Stone, Elizabeth"
"Cibber, Colley",sued,"Allen, Anthony"
"Cibber, Colley",sued,"Mordaunt, John"
"Cibber, Colley",sued,"Collier, William"
"Booth, Barton",sued,"Killigrew, Charles"
"Booth, Barton",sued,"Kynaston, Thomas"
"Booth, Barton",sued,"Drew, Charles"
"Booth, Barton",sued,"Leake, Elizabeth"
"Booth, Barton",sued,"Lacey, Margaret"
"Booth, Barton",sued,"Strawbridge, Nicholas"
"Booth, Barton",sued,"Morley, George"
"Booth, Barton",sued,"Stone, Elizabeth"
"Booth, Barton",sued,"Allen, Anthony"
"Booth, Barton",sued,"Mordaunt, John"
"Booth, Barton",sued,"Collier, William"
"Wilkes, Robert",sued,"Rich, John"
"Wilkes, Robert",sued,"Rich, Christopher Mosyers"
"Wilkes, Robert",sued,"Clarke, Rupert"
"Wilkes, Robert",sued,"Peters, Martha"
"Cibber, Colley",sued,"Rich, John"
"Cibber, Colley",sued,"Rich, Christopher Mosyers"
"Cibber, Colley",sued,"Clarke, Rupert"
"Cibber, Colley",sued,"Peters, Martha"
"Booth, Barton",sued,"Rich, John"
"Booth, Barton",sued,"Rich, Christopher Mosyers"
"Booth, Barton",sued,"Clarke, Rupert"
"Booth, Barton",sued,"Peters, Martha"
"Killigrew, Charles",sued,"Davenant, Charles"
"Killigrew, Charles",sued,"Davenant, Charles"
"Killigrew, Charles",sued,"Skipwith, Thomas"
"Morley, Penelope",sued,"Skipwith, Thomas"
"Clayton, Thomas",sued,"Skipwith, Thomas"
"Killigrew, Charles",sued,"Betterton, Thomas"
"Killigrew, Charles",sued,"Skipwith, Thomas"
"Killigrew, Charles",sued,"Rich, Christopher"
"Clayton, Thomas",sued,"Skipwith, Thomas"
"Clayton, Thomas",sued,"Rich, Christopher"
"Davenant, Charles",sued,"Godwin, Benjamin"
"Davenant, Charles",sued,"King, Gregory"
